question_id,category,b_faith,h_faith,b_rel,h_rel,b_tone,h_tone,b_acc,h_acc,b_ground,h_ground,b_sim_ctx,h_sim_ctx,delta_faith,delta_ground,delta_acc,delta_tone,delta_rel,delta_sim_ctx,improved_core
33,Communication & Interaction,1.0,1.0,0.9047908140612738,0.4590882927363671,5,5,4,4,4,4,0.6182394441917526,0.6654875181615647,0.0,0,0,0,-0.44570252132490673,0.04724807396981212,0
34,Communication & Interaction,0.8571428571428571,1.0,0.9249832298942772,0.8504075160529055,5,4,4,4,4,4,0.7438303724628804,0.9179256079422198,0.1428571428571429,0,0,-1,-0.07457571384137163,0.17409523547933936,1
35,Communication & Interaction,1.0,1.0,0.8673219198788539,0.8484254524179455,4,5,4,4,4,4,0.7712692972920552,0.8082329653653221,0.0,0,0,1,-0.01889646746090834,0.0369636680732669,0
36,Communication & Interaction,1.0,1.0,0.8704285420281194,0.6527465879981006,5,5,4,4,4,4,0.3600000648470906,0.658778097817411,0.0,0,0,0,-0.21768195403001878,0.29877803297032046,0
37,Communication & Interaction,1.0,1.0,0.6441540294231428,0.0,5,5,4,4,4,4,0.631019328201512,0.5588851159460138,0.0,0,0,0,-0.6441540294231428,-0.07213421225549821,0
38,Communication & Interaction,1.0,1.0,0.7066048678872071,0.0,5,4,4,4,4,4,0.6639982887519713,0.7572954898824789,0.0,0,0,-1,-0.7066048678872071,0.09329720113050755,0
39,Communication & Interaction,1.0,0.0,0.5909193103242479,0.6928276056259993,5,5,4,4,3,3,0.7254365969408673,0.758964496270096,-1.0,0,0,0,0.10190829530175138,0.03352789932922873,0
40,Communication & Interaction,0.5,1.0,0.6644087282765541,0.3070373606100497,5,4,4,4,3,3,0.3780134838384041,0.6291267566050134,0.5,0,0,-1,-0.35737136766650435,0.2511132727666093,1
41,Communication & Interaction,0.75,0.8,0.8094041421011747,0.5753465130714779,5,5,4,4,4,4,0.6761282612335276,0.779565500872566,0.050000000000000044,0,0,0,-0.23405762902969685,0.10343723963903839,1
42,Communication & Interaction,0.5,1.0,0.0,0.7664167693200296,5,5,4,4,4,4,0.6718166928737427,0.7139812069369363,0.5,0,0,0,0.7664167693200296,0.04216451406319366,1
43,Communication & Interaction,1.0,1.0,0.7221970600623263,0.6416463849492199,5,4,4,4,4,4,0.7525487076473518,0.7622900388702153,0.0,0,0,-1,-0.08055067511310643,0.00974133122286347,0
44,Communication & Interaction,0.8,1.0,0.8040452798861408,0.6733913821007214,4,5,4,4,4,4,0.7272961582774996,0.7855489460229137,0.19999999999999996,0,0,1,-0.13065389778541947,0.05825278774541409,1
45,Communication & Interaction,1.0,1.0,0.9699464485413886,0.714807853605011,4,5,4,4,4,4,0.6663717339638737,0.8112380817301899,0.0,0,0,1,-0.2551385949363776,0.14486634776631613,0
46,Communication & Interaction,0.8,1.0,0.9431383447174492,0.8061268908640528,4,5,4,4,4,4,0.873239487538832,0.8503344512986185,0.19999999999999996,0,0,1,-0.13701145385339641,-0.02290503624021345,1
47,Communication & Interaction,1.0,0.0,0.8035553415950959,0.6866607156213901,5,4,4,4,4,4,0.6516032000849065,0.7201168102995155,-1.0,0,0,-1,-0.11689462597370581,0.068513610214609,0
48,Communication & Interaction,0.0,0.8,0.8816258369542084,0.286650356131833,5,5,4,4,3,4,0.4671115469102301,0.6480775701466288,0.8,1,0,0,-0.5949754808223754,0.1809660232363987,1
49,Communication & Interaction,1.0,1.0,0.5931573497655264,0.7442131640752442,4,5,4,4,4,4,0.303005479289584,0.8085666063161714,0.0,0,0,1,0.15105581430971782,0.5055611270265874,0
50,Communication & Interaction,0.6,0.8,0.6219114249477692,0.5960926756566111,4,5,4,4,4,4,0.69537722370318,0.7623873141028144,0.20000000000000007,0,0,1,-0.025818749291158127,0.06701009039963435,1
51,Communication & Interaction,1.0,1.0,0.901892462154984,0.6790296689736249,5,4,4,4,4,4,0.6555456882784098,0.6795605729359897,0.0,0,0,-1,-0.22286279318135904,0.02401488465757995,0
52,Communication & Interaction,1.0,1.0,0.6883978837542157,0.6584189488628053,4,4,4,4,4,4,0.5236434759356469,0.7316732223806327,0.0,0,0,0,-0.029978934891410458,0.20802974644498584,0
53,Communication & Interaction,1.0,1.0,0.6521388584654978,0.8951456620399328,5,4,4,4,4,4,0.5894264286896538,0.7001753081009104,0.0,0,0,-1,0.24300680357443505,0.11074887941125666,0
54,Communication & Interaction,,0.8,0.8385871560997423,0.6402779157052887,5,4,4,4,3,4,0.6341467704117197,0.8012184425527613,,1,0,-1,-0.19830924039445363,0.16707167214104157,1
55,Communication & Interaction,1.0,1.0,0.9585315750257806,0.6479216669299929,5,5,4,4,4,4,0.6691597372508398,0.5747163344567708,0.0,0,0,0,-0.3106099080957877,-0.09444340279406893,0
56,Communication & Interaction,1.0,1.0,0.8836030010240244,0.8783233160544778,4,5,4,4,4,4,0.7865664701952245,0.8426447060476984,0.0,0,0,1,-0.005279684969546672,0.056078235852473846,0
57,Communication & Interaction,1.0,1.0,0.918039653307064,0.0,4,4,4,4,4,4,0.545746677854038,0.590471514954859,0.0,0,0,0,-0.918039653307064,0.04472483710082098,0
58,Communication & Interaction,1.0,1.0,0.446571529021203,0.3580602371699652,4,4,4,4,4,4,0.7677483094377284,0.7819475601023305,0.0,0,0,0,-0.0885112918512378,0.014199250664602037,0
59,Communication & Interaction,1.0,1.0,0.7080141538233283,0.7005775295846538,5,4,5,3,4,4,0.5928352751539834,0.7654876029606166,0.0,0,-2,-1,-0.007436624238674527,0.1726523278066332,0
60,Communication & Interaction,0.8,1.0,0.7834637946871493,0.8419800232794565,5,5,5,4,4,4,0.6456517904396947,0.664702277357953,0.19999999999999996,0,-1,0,0.05851622859230721,0.01905048691825828,1
61,Communication & Interaction,1.0,0.5,0.7420118412322333,0.4609473033233579,5,5,4,4,3,4,0.4627953266366011,0.8099315532116105,-0.5,1,0,0,-0.28106453790887537,0.34713622657500937,1
62,Communication & Interaction,1.0,1.0,0.9194916736135632,0.8292571771447702,5,5,5,4,4,4,0.634104417390769,0.6236195858248986,0.0,0,-1,0,-0.090234496468793,-0.010484831565870323,0
63,Cognition & Learning,0.0,1.0,0.8646797415719777,0.6196003573356738,4,4,4,4,4,4,0.6966447739510305,0.8277883811822755,1.0,0,0,0,-0.24507938423630393,0.13114360723124496,1
64,Cognition & Learning,1.0,1.0,0.9480488403517712,0.7120695592882198,5,5,4,4,4,4,0.7603758764307251,0.7348820782155304,0.0,0,0,0,-0.23597928106355137,-0.025493798215194707,0
65,Cognition & Learning,1.0,1.0,0.7383421325674061,0.3138645896191979,5,4,4,4,4,4,0.6329394833181634,0.736396871460711,0.0,0,0,-1,-0.4244775429482082,0.10345738814254757,0
66,Cognition & Learning,1.0,0.6666666666666666,0.7495574283127815,0.5451321320109012,4,3,4,3,3,4,0.4949063405792526,0.800459011100383,-0.33333333333333337,1,-1,-1,-0.20442529630188033,0.3055526705211304,1
67,Cognition & Learning,1.0,0.75,0.8242101741460154,0.865342828767781,4,5,4,5,4,5,0.6609440296579389,0.7898377861635378,-0.25,1,1,1,0.04113265462176563,0.12889375650559898,1
68,Cognition & Learning,0.4,0.75,0.6980858254931928,0.626150454919537,4,4,4,4,4,4,0.5635113357636039,0.7592753400773026,0.35,0,0,0,-0.07193537057365573,0.19576400431369867,1
69,Cognition & Learning,1.0,1.0,0.6020944348309824,0.4094413643568342,5,4,4,4,4,4,0.72479017879948,0.6854623321281864,0.0,0,0,-1,-0.19265307047414815,-0.03932784667129363,0
70,Cognition & Learning,1.0,1.0,0.7004690829442989,0.6355184909102062,5,5,5,4,4,4,0.7004125023128005,0.7029261339965309,0.0,0,-1,0,-0.0649505920340927,0.002513631683730422,0
71,Cognition & Learning,1.0,1.0,0.7651325285988778,0.0,5,4,4,4,4,4,0.5113586173562681,0.6567048862881004,0.0,0,0,-1,-0.7651325285988778,0.14534626893183233,0
72,Cognition & Learning,0.8,,0.7979008043153225,0.0,4,4,4,4,4,4,0.6920156902501596,0.7084205764964493,,0,0,0,-0.7979008043153225,0.016404886246289663,0
73,Cognition & Learning,0.6,1.0,0.0,0.6359090091076097,4,4,4,4,4,4,0.663828193839715,0.563489817569319,0.4,0,0,0,0.6359090091076097,-0.10033837627039599,1
74,Cognition & Learning,1.0,1.0,0.8994614812797863,0.0,5,4,4,4,4,4,0.767946546011669,0.8586274404959313,0.0,0,0,-1,-0.8994614812797863,0.09068089448426231,0
75,Cognition & Learning,0.8,0.4,0.749077650969237,0.7692897426697719,5,5,5,5,4,5,0.5230340878809191,0.6010581559884601,-0.4,1,0,0,0.02021209170053495,0.07802406810754103,1
76,Cognition & Learning,1.0,1.0,0.8761528533798982,0.5702783554436855,4,4,4,4,4,4,0.5949358871396676,0.7687681994388231,0.0,0,0,0,-0.3058744979362127,0.17383231229915552,0
77,Cognition & Learning,0.75,0.8,0.0,0.0,5,4,4,4,4,4,0.6278379455907221,0.787974036651253,0.050000000000000044,0,0,-1,0.0,0.16013609106053084,1
78,Cognition & Learning,1.0,0.8,0.6708118584848237,0.6288940056094916,5,4,5,4,4,4,0.7923107629026979,0.8699483951721205,-0.19999999999999996,0,-1,-1,-0.04191785287533212,0.07763763226942266,0
79,Cognition & Learning,0.4,1.0,0.6902306174632823,0.6936562512528832,4,5,4,5,4,5,0.7616841448823473,0.7271363767497927,0.6,1,1,1,0.0034256337896009237,-0.03454776813255456,1
80,Cognition & Learning,0.5,1.0,0.8555552297940819,0.7182339209190607,4,5,4,5,4,5,0.7390307929485774,0.7833579677623109,0.5,1,1,1,-0.13732130887502125,0.044327174813733494,1
81,Cognition & Learning,0.6666666666666666,1.0,0.9041818633717202,0.0,5,3,4,3,4,4,0.6791650016708328,0.8400052301590493,0.33333333333333337,0,-1,-2,-0.9041818633717202,0.16084022848821644,1
82,Cognition & Learning,0.8,1.0,0.818816747523308,0.0,5,4,4,4,3,4,0.5928451416445752,0.8197521853280619,0.19999999999999996,1,0,-1,-0.818816747523308,0.2269070436834867,1
83,Cognition & Learning,1.0,1.0,0.0,0.6783968919084394,4,5,4,5,4,5,0.8173301964264885,0.8808089152409061,0.0,1,1,1,0.6783968919084394,0.06347871881441758,1
84,Cognition & Learning,1.0,1.0,0.8718260799275829,0.6409070820446385,4,5,4,5,4,5,0.7725031480421636,0.7528273536654154,0.0,1,1,1,-0.23091899788294434,-0.019675794376748157,1
85,Cognition & Learning,0.6,1.0,0.4332161800034496,0.6751792528797719,4,5,4,5,4,5,0.6306278080254961,0.6213189225235345,0.4,1,1,1,0.2419630728763223,-0.009308885501961628,1
86,Cognition & Learning,1.0,0.8,0.9194110129230484,0.5671910172099144,4,4,4,4,4,4,0.6733983979815579,0.7568105449634586,-0.19999999999999996,0,0,0,-0.352219995713134,0.08341214698190069,0
87,Cognition & Learning,0.6666666666666666,1.0,0.6442009201211746,0.5337472033686398,5,5,4,4,4,4,0.6440745855345922,0.7558408131233862,0.33333333333333337,0,0,0,-0.11045371675253479,0.11176622758879406,1
88,Cognition & Learning,1.0,0.8,0.504657029193868,0.7261057853008294,4,5,4,5,4,5,0.5098504873139322,0.6528851681900996,-0.19999999999999996,1,1,1,0.22144875610696135,0.14303468087616733,1
89,Cognition & Learning,,1.0,0.7836443442489237,0.7088476615694361,5,5,4,4,4,4,0.7183114834804567,0.7675644742687074,,0,0,0,-0.07479668267948758,0.04925299078825074,0
90,Cognition & Learning,0.75,1.0,0.942384682880759,0.7700233606967676,5,5,5,4,4,4,0.8072129422888991,0.6841375083429868,0.25,0,-1,0,-0.17236132218399147,-0.12307543394591225,1
91,Cognition & Learning,1.0,1.0,0.8944845978687052,0.7294048210767826,5,5,4,4,4,4,0.8879202828575106,0.9325500118930902,0.0,0,0,0,-0.16507977679192254,0.0446297290355796,0
92,Cognition & Learning,1.0,1.0,0.7169004950443186,0.6357761015488234,4,4,4,4,4,3,0.4599176917374719,0.5122722306162357,0.0,-1,0,0,-0.08112439349549527,0.052354538878763845,0
93,Cognition & Learning,1.0,1.0,0.91979184331406,0.0,4,5,4,4,4,4,0.7101123238796108,0.8017108890424275,0.0,0,0,1,-0.91979184331406,0.09159856516281673,0
94,Cognition & Learning,1.0,0.8,0.8339748839635988,0.8017984053108882,5,5,4,5,3,4,0.574760986490393,0.7036615706631205,-0.19999999999999996,1,1,0,-0.03217647865271056,0.12890058417272754,1
95,Cognition & Learning,0.0,1.0,0.7017353279690353,0.806913937415711,5,4,5,4,4,4,0.541162275977428,0.7760847007553955,1.0,0,-1,-1,0.10517860944667579,0.23492242477796743,1
96,Cognition & Learning,1.0,0.1666666666666666,0.8412568321070077,0.2790611171170513,5,5,4,4,4,4,0.5720865493940509,0.5695882014311149,-0.8333333333333334,0,0,0,-0.5621957149899565,-0.0024983479629360206,0
97,Cognition & Learning,1.0,1.0,0.8846831150554602,0.7674000336738253,4,5,4,5,4,5,0.795144871651873,0.7981015976730563,0.0,1,1,1,-0.1172830813816349,0.0029567260211833535,1
98,Cognition & Learning,1.0,1.0,0.8812673342434697,0.5129278228438005,4,5,4,4,4,4,0.6300314323883259,0.657045256904742,0.0,0,0,1,-0.36833951139966925,0.027013824516416096,0
99,Cognition & Learning,0.8,0.6666666666666666,0.0,0.0,4,3,4,3,3,3,0.5635813664916501,0.6744222109547092,-0.13333333333333341,0,-1,-1,0.0,0.11084084446305909,0
100,Cognition & Learning,1.0,1.0,0.818750650719276,0.5309933635998466,5,4,4,4,4,3,0.6303664085661942,0.6081453819899907,0.0,-1,0,-1,-0.2877572871194294,-0.022221026576203506,0
101,Cognition & Learning,1.0,1.0,0.8007817132937111,0.7789669236085581,4,5,4,4,4,4,0.770913370109236,0.6453997347383886,0.0,0,0,1,-0.021814789685152935,-0.12551363537084737,0
102,Cognition & Learning,1.0,0.6,0.8911872917170666,0.6190856617527309,5,5,4,4,4,4,0.5923978175799676,0.7584807288625192,-0.4,0,0,0,-0.2721016299643356,0.1660829112825516,0
103,Cognition & Learning,1.0,0.4,0.4876258979148118,0.4615031066021118,5,5,4,4,4,4,0.5758201806176064,0.7401843471415542,-0.6,0,0,0,-0.02612279131270001,0.1643641665239478,0
104,Cognition & Learning,1.0,1.0,0.8743762375689704,0.5656720228448331,4,4,4,4,3,4,0.6787533214886193,0.748208389243077,0.0,1,0,0,-0.30870421472413734,0.06945506775445764,1
105,Cognition & Learning,1.0,0.8,0.0,0.5778852349362836,4,4,4,4,4,4,0.562943941312853,0.6210653498112504,-0.19999999999999996,0,0,0,0.5778852349362836,0.05812140849839742,0
106,Cognition & Learning,0.8,1.0,0.8241681494340239,0.5693279039702724,4,4,4,4,4,4,0.6219524628864203,0.7163048857663045,0.19999999999999996,0,0,0,-0.2548402454637515,0.09435242287988421,1
107,Cognition & Learning,1.0,,0.8738709008954482,0.5589353015005972,5,4,4,4,4,4,0.7934210094985221,0.6588064944907327,,0,0,-1,-0.31493559939485094,-0.13461451500778943,0
108,Cognition & Learning,0.0,0.2,0.8284150395703699,0.0,4,5,4,4,4,4,0.6787371461100401,0.822587185771241,0.2,0,0,1,-0.8284150395703699,0.1438500396612009,1
109,Cognition & Learning,0.8333333333333334,1.0,0.6888734180402775,0.8405670078347885,4,5,4,4,4,4,0.6541661178953936,0.7002972338671849,0.16666666666666663,0,0,1,0.15169358979451109,0.046131115971791314,1
110,Cognition & Learning,1.0,1.0,0.0,0.6977645555666793,5,5,4,4,3,3,0.5123018218423582,0.6572575763385818,0.0,0,0,0,0.6977645555666793,0.14495575449622367,0
111,Cognition & Learning,0.7142857142857143,1.0,0.7403520600771195,0.5498829283252785,4,4,4,4,4,4,0.6692063466590487,0.735195356754843,0.2857142857142857,0,0,0,-0.190469131751841,0.06598901009579439,1
112,Cognition & Learning,0.8,1.0,0.915598739485248,0.5888819019690802,4,4,4,4,4,4,0.6759644610881848,0.7788769600893489,0.19999999999999996,0,0,0,-0.32671683751616776,0.10291249900116417,1
113,Cognition & Learning,0.0,1.0,0.8385717535219803,0.5131364325240776,4,3,4,3,4,4,0.5749646652146531,0.8605160984164685,1.0,0,-1,-1,-0.32543532099790273,0.2855514332018154,1
114,Cognition & Learning,1.0,0.4,0.8191331698440688,0.4579786255141622,5,5,4,4,3,4,0.5191981106365948,0.6602008543704867,-0.6,1,0,0,-0.3611545443299066,0.14100274373389188,1
115,Cognition & Learning,1.0,1.0,0.0,0.5588149473266468,4,5,4,5,4,5,0.6642039191097077,0.8129218388714464,0.0,1,1,1,0.5588149473266468,0.14871791976173876,1
116,Cognition & Learning,1.0,1.0,0.9566194714408772,0.6772424135785249,4,5,4,4,4,4,0.6796098144841257,0.7795022946027282,0.0,0,0,1,-0.27937705786235234,0.09989248011860252,0
117,Cognition & Learning,1.0,1.0,0.6344126376650162,0.6022114058271072,4,5,4,4,4,4,0.8036759161077665,0.8622629881368985,0.0,0,0,1,-0.03220123183790902,0.05858707202913205,0
118,Cognition & Learning,1.0,1.0,0.8742554976838465,0.722554980476151,4,4,4,4,4,4,0.6145326446373475,0.6200876300632291,0.0,0,0,0,-0.1517005172076955,0.00555498542588162,0
119,Cognition & Learning,1.0,0.8333333333333334,0.7521186239268348,0.5281071592700844,5,4,5,4,4,4,0.6839945138228787,0.661519392250501,-0.16666666666666663,0,-1,-1,-0.22401146465675037,-0.022475121572377632,0
120,Cognition & Learning,0.0,0.2,0.9524001696662866,0.7174533465082275,4,4,4,4,3,4,0.5935519837200315,0.7303607166163069,0.2,1,0,0,-0.23494682315805915,0.13680873289627538,1
121,Cognition & Learning,1.0,1.0,0.7715957033151103,0.8753199026183887,5,5,4,4,4,4,0.4848929589001758,0.5688701833253594,0.0,0,0,0,0.10372419930327836,0.08397722442518363,0
122,Cognition & Learning,1.0,1.0,0.8881209105760249,0.5296779923960057,5,4,4,4,4,4,0.6221230920377699,0.6739405751309672,0.0,0,0,-1,-0.3584429181800193,0.051817483093197225,0
123,Cognition & Learning,0.0,0.6,0.6532915822064244,0.6693524958538782,4,5,4,5,3,4,0.6801443828191246,0.6786095391813638,0.6,1,1,1,0.01606091364745388,-0.0015348436377607966,1
124,Cognition & Learning,1.0,1.0,0.9571014482878502,0.8473878568495286,5,4,4,4,4,4,0.6662093342904798,0.773392767159184,0.0,0,0,-1,-0.1097135914383216,0.10718343286870424,0
125,Cognition & Learning,1.0,1.0,0.0,0.844451643071252,4,4,4,4,4,4,0.7806900648051948,0.7744364144099084,0.0,0,0,0,0.844451643071252,-0.006253650395286359,0
126,SEMH,0.4,1.0,0.8860013311223583,0.8458421808047109,4,5,4,5,4,5,0.7021725930155558,0.884459908729641,0.6,1,1,1,-0.040159150317647496,0.18228731571408519,1
127,SEMH,1.0,1.0,0.7723877824709667,0.6952039944692728,4,5,4,4,4,4,0.5866703068681912,0.7472789095952944,0.0,0,0,1,-0.0771837880016939,0.1606086027271032,0
128,SEMH,1.0,1.0,0.8393629840684902,0.830374095166548,4,5,4,4,4,4,0.6891682830203203,0.7712772202341991,0.0,0,0,1,-0.00898888890194216,0.0821089372138788,0
129,SEMH,0.8333333333333334,1.0,0.8703576655648747,0.4742545257846939,5,4,4,4,4,4,0.6949260400510376,0.8738127240814318,0.16666666666666663,0,0,-1,-0.3961031397801808,0.1788866840303942,1
130,SEMH,0.8,1.0,1.0000000000000002,0.0,5,5,5,5,5,5,0.6431188629570419,0.8280686897921958,0.19999999999999996,0,0,0,-1.0000000000000002,0.18494982683515393,1
131,SEMH,1.0,0.6,0.6878184811779011,0.0,5,3,4,3,4,4,0.6601674404682835,0.7517093781156271,-0.4,0,-1,-2,-0.6878184811779011,0.09154193764734364,0
132,SEMH,1.0,0.8,0.6691560749851488,0.5066970736405947,4,4,4,4,4,4,0.627246715776271,0.7950063726248637,-0.19999999999999996,0,0,0,-0.16245900134455415,0.16775965684859273,0
133,SEMH,1.0,1.0,0.9418154644519898,0.5384300127500564,5,5,4,4,4,4,0.6847216978682654,0.7515537985127674,0.0,0,0,0,-0.4033854517019334,0.06683210064450196,0
134,SEMH,0.4,1.0,0.9957076651715814,0.90959393970074,3,5,2,5,3,5,0.8577546905786004,0.7942885013568824,0.6,2,3,2,-0.0861137254708414,-0.06346618922171798,1
135,SEMH,1.0,0.8,0.8284814992355406,0.4302705746441406,5,4,4,4,4,4,0.6495153930696036,0.7934786162613493,-0.19999999999999996,0,0,-1,-0.3982109245914,0.1439632231917457,0
136,SEMH,1.0,1.0,0.636034309017043,0.4643151503439465,5,4,4,4,4,4,0.5743441871918958,0.6907297663168203,0.0,0,0,-1,-0.17171915867309656,0.11638557912492442,0
137,SEMH,1.0,1.0,0.0,0.0,5,4,4,4,3,3,0.5441764659623444,0.6323604766291319,0.0,0,0,-1,0.0,0.0881840106667875,0
138,SEMH,1.0,1.0,0.0,0.7084087875124249,5,5,4,4,4,4,0.5798336640122534,0.5825657707836874,0.0,0,0,0,0.7084087875124249,0.002732106771433984,0
139,SEMH,1.0,1.0,0.8910560169525062,0.0,5,5,4,4,4,4,0.7587686786871517,0.8541228272919464,0.0,0,0,0,-0.8910560169525062,0.09535414860479474,0
140,SEMH,0.8,0.8,0.0,0.7298389567586078,4,5,4,4,4,4,0.6886741361971347,0.8056746504294069,0.0,0,0,1,0.7298389567586078,0.1170005142322722,0
