dataset,id,category,prompt,answer_text,tone_label,tone_alignment_score,accuracy_score,grounding_score,concise_rationale
baseline,22,Communication & Interaction,How do I handle a student who becomes fixated on a specific topic during class discussion?,"When handling a student who becomes fixated on a specific topic during class discussion, staff may need to gently steer the conversation back on track by acknowledging their interest and offering opportunities for them to explore it further outside of the main lesson. The teacher can also use this as an opportunity to model how to respectfully disagree or change the subject when necessary. However, if the student's fixation is causing disruption to others, staff should consider having a private discussion with them afterwards to find ways to manage their enthusiasm in future lessons.",supportive,4,4,3,"The response provides practical strategies for managing student fixation while maintaining a supportive tone, though it lacks some specific grounding in the provided context."
baseline,23,Communication & Interaction,What is the impact of noise-canceling headphones on communication in a busy room?,"Staff may find that using noise-canceling headphones can significantly reduce distractions and improve focus for pupils with sensory processing difficulties or those who are easily distracted in a busy room. However, it's essential to consider the potential impact on communication between staff and pupils, as well as among pupils themselves. The school should weigh up the benefits of reduced distractions against the need for clear verbal instructions and social interaction.",supportive,4,4,4,"The response provides practical insights on the use of noise-canceling headphones while maintaining a collegial tone, though it could benefit from more specific strategies."
baseline,24,Communication & Interaction,How can teachers support 'Social Stories' for a child struggling with lunchtime?,"Teachers may use Social Stories to help children understand and prepare for specific situations, such as lunchtime. They can create a story together with the child that describes what will happen during lunch, including expectations around behaviour, social interactions, and transitions between activities. This approach is most effective when used consistently across all staff who interact with the child.",supportive,5,4,4,"The response provides practical, collegial guidance on using Social Stories while remaining relevant to the context, though it could include more specific strategies."
baseline,25,Communication & Interaction,What are the signs of receptive language difficulties in a primary school child?,"Staff may look out for signs such as struggling to follow instructions or directions, difficulty understanding and retaining new vocabulary, and needing repeated explanations of tasks. They may also notice that the child has trouble answering questions accurately, especially those requiring comprehension of written or spoken language. It's essential to note that these signs can be subtle and may not always be immediately apparent, so ongoing observation and assessment are crucial.",supportive,5,4,4,"The response provides practical, collegial guidance on identifying receptive language difficulties, though it could include more specific examples from the context."
baseline,26,Communication & Interaction,How do I support a secondary student with autism who finds the corridor transitions stressful?,"To reduce stress during corridor transitions, staff may consider providing visual schedules or checklists to help the student plan and prepare for each transition. The school can also establish a consistent routine for corridor travel, such as using the same route or timing transitions with specific events like bell times. This can help the student develop a sense of predictability and control over their environment.",supportive,5,5,4,"The response provides practical, collegial strategies for supporting a student with autism during transitions, aligning well with the context while slightly generalizing the evidence."
baseline,27,Communication & Interaction,What is the best way to give feedback to an autistic student who is sensitive to criticism?,"When giving feedback to an autistic student who is sensitive to criticism, staff may find it helpful to provide specific, objective comments that focus on the task or behavior rather than making personal judgments. Feedback should be delivered in a calm and non-confrontational manner, allowing the student time to process and respond thoughtfully. It's essential to avoid using language that implies failure or inadequacy, as this can exacerbate anxiety and defensiveness.",supportive,5,5,4,"The response provides clear, practical guidance tailored to the needs of autistic students, maintaining a collegial tone while being mostly supported by the reference context."
baseline,28,Communication & Interaction,How can I use 'Lego Therapy' to improve social communication in school?,"Staff may use Lego Therapy as a tool to support pupils with social communication difficulties by engaging them in collaborative building activities that promote turn-taking, sharing, and problem-solving. The therapy can be adapted for school settings by incorporating Lego into group work or individual sessions, allowing pupils to develop their social skills while working on a shared project. It is essential to note that Lego Therapy should be delivered by trained professionals or with guidance from an experienced practitioner.",supportive,5,4,4,"The response provides practical guidance on using Lego Therapy in a supportive tone, though it could include more specific strategies for implementation."
baseline,29,Communication & Interaction,How do I support a child who uses repetitive phrases or echolalia in class?,"When supporting a child who uses repetitive phrases or echolalia in class, staff may try to redirect their attention by gently interrupting and rephrasing what they have said. The school can also provide opportunities for the pupil to communicate in alternative ways, such as through visual aids or augmentative and alternative communication (AAC) systems. It's essential to note that echolalia is a common feature of autism spectrum disorder and may be used by pupils as a coping mechanism.",supportive,4,4,3,"The response provides practical strategies for supporting a child with echolalia, though it lacks some specific techniques mentioned in the reference context."
baseline,30,Communication & Interaction,What are the social rules of communication that autistic students find most challenging?,"Autistic students may struggle with unwritten social rules and nuances in verbal and non-verbal communication. They may find it difficult to understand implied meaning, sarcasm, idioms, and facial expressions, which can lead to misunderstandings or misinterpretations of intentions. It is essential for staff to be aware of these challenges and adapt their communication style accordingly, using clear and direct language to support autistic students' understanding.",supportive,5,4,4,"The response provides clear, respectful guidance on the communication challenges faced by autistic students, with a supportive tone and relevant context, though it could include more specific strategies."
baseline,31,Communication & Interaction,How can I adapt a 'Circle Time' activity for a child with social interaction needs?,"To adapt a 'Circle Time' activity for a child with social interaction needs, staff may consider providing a visual schedule or checklist to help them understand and participate in the discussion. The school can also offer one-to-one support during Circle Time to enable the pupil to engage more confidently with their peers. This might involve sitting near the pupil or using a communication aid to facilitate their contribution.",supportive,5,4,4,"The response provides practical, collegial advice tailored to the needs of a child with social interaction needs, though it could include more specific strategies from the reference context."
baseline,32,Communication & Interaction,What strategies prevent 'Communication Frustration' in non-verbal students?,"Staff may use augmentative and alternative communication (AAC) systems, such as picture communication symbols or electronic devices, to support non-verbal students in expressing their needs and wants. The school can also provide opportunities for students to communicate through gestures, facial expressions, and body language, while encouraging staff to be patient and allow time for the student to process and respond. It is essential to note that each student's communication style should be assessed and tailored to meet their individual needs.",supportive,5,5,4,"The response provides practical strategies for preventing communication frustration in non-verbal students while maintaining a collegial tone, though it slightly generalizes beyond the specific context."
baseline,33,Communication & Interaction,How can I help a student understand personal space boundaries?,"Staff may help a student understand personal space boundaries by modelling and discussing what is considered acceptable physical proximity in different situations. The school can also provide opportunities for students to practice setting and respecting boundaries through role-play activities or social skills groups. It's essential to be patient and consistent when teaching this skill, as it may take time for the student to develop an understanding of personal space boundaries.",supportive,5,4,4,"The response provides practical, collegial guidance on teaching personal space boundaries, though it could include more specific strategies related to the context."
baseline,34,Communication & Interaction,What is the role of the SENCO in supporting a child with a new ASD diagnosis?,"The SENCO's primary role in supporting a child with a new Autism Spectrum Disorder (ASD) diagnosis is to work closely with the class teacher and other professionals to develop an individualised support plan that meets the child's unique needs. The SENCO will also provide guidance on strategies for teaching and learning, including adapting the curriculum and classroom environment to promote engagement and inclusion. This may involve collaborating with external specialists, such as occupational therapists or speech and language therapists, to ensure a comprehensive approach to supporting the child's development.",supportive,5,4,4,"The response provides clear, collegial guidance on the SENCO's role while being mostly accurate and well-grounded in the context."
baseline,35,Communication & Interaction,How can I adapt a phonics lesson for a child with a speech delay?,"Staff may consider adapting the phonics lesson by providing additional support and scaffolding to help the child with a speech delay access the learning. This can be achieved by using visual aids such as pictures or symbols to support the child's understanding of new sounds, and by breaking down complex tasks into smaller, more manageable steps. However, it is essential to consult with the SENCo and Speech and Language Therapist (if involved) before making any significant adaptations to ensure that they align with the child's individual needs and goals.",supportive,4,4,4,"The response provides practical strategies for adapting a phonics lesson while maintaining a collegial tone, though it could include more specific examples from the context."
baseline,36,Communication & Interaction,What are the best ways to facilitate inclusive group discussions for neurodiverse pupils?,"Staff may facilitate inclusive group discussions by providing a clear structure and expectations at the beginning of each session. This can include setting ground rules, such as respecting others' opinions and using ""I"" statements to express thoughts and feelings. Additionally, staff can consider using visual aids or alternative methods for participation, such as writing down ideas on sticky notes, to accommodate different learning styles and needs.",supportive,5,4,4,"The response provides practical, respectful guidance for facilitating inclusive discussions, though it could include more specific strategies tailored to neurodiverse pupils."
baseline,37,Communication & Interaction,How do I support a student who refuses to work with a teaching assistant?,"Staff may start by speaking with the pupil privately to understand their concerns and reasons for not wanting to work with the teaching assistant. The school can then consider providing alternative support arrangements, such as a different teaching assistant or a peer mentor, to help build trust and increase engagement. It's essential to involve the pupil in the decision-making process to ensure that any changes meet their needs and preferences.",supportive,5,4,4,"The response provides practical, respectful guidance tailored to the context of supporting a student, though it could include more specific strategies related to the concerns raised in the reference context."
baseline,38,Communication & Interaction,What are the signs of a social communication breakdown in a secondary setting?,"Staff may look out for signs such as difficulty initiating or maintaining conversations, struggling to understand tone and sarcasm, and displaying frustration or anxiety when interacting with peers. Pupils may also exhibit difficulties with turn-taking, interrupting others, or dominating conversations. It is essential to note that these behaviors can be indicative of underlying social communication needs, but should not be assumed without further assessment and support.",supportive,5,4,4,"The response provides practical, collegial guidance on identifying social communication breakdowns, though it could include more specific strategies for intervention."
baseline,39,Communication & Interaction,How can I use 'Incentive Charts' effectively for an autistic student?,"Staff may find it helpful to introduce Incentive Charts as a visual reminder of expected behaviors and rewards, setting clear expectations with the autistic student. The school can tailor charts to individual preferences by using pictures or symbols instead of words, and incorporating interests or favorite activities as rewards. It's essential to review and update charts regularly to maintain their effectiveness and avoid over-reliance on incentives.",supportive,5,4,3,"The response provides practical, respectful guidance tailored to the needs of an autistic student, though it could benefit from more specific references to the context provided."
baseline,40,Communication & Interaction,What is the impact of 'Processing Time' on a student's ability to answer questions?,"Processing Time refers to the time it takes for a student with Special Educational Needs (SEN) to process and respond to verbal or written instructions. This can significantly impact their ability to answer questions accurately and on time, as they may need extra time to understand and formulate a response. Staff should be aware that students with SEN may require additional processing time, which can vary depending on the individual's needs and circumstances.",supportive,5,4,3,"The response provides a clear and respectful explanation of processing time's impact on students with SEN, though it could benefit from more specific strategies for implementation."
baseline,41,Communication & Interaction,How can I adapt a literature lesson for a child who struggles with inference?,Staff may consider providing explicit instruction on inference skills before introducing the literature lesson. This could involve using visual aids or graphic organizers to help the pupil identify and label inferences made by the characters or author. The school can also provide additional support by offering a simplified version of the text or providing sentence stems to aid comprehension.,supportive,5,4,4,"The response provides practical, collegial strategies for adapting a literature lesson while remaining aligned with the context, though it could include more specific examples."
baseline,42,Communication & Interaction,What are the best strategies for managing 'Sensory Overload' in a school canteen?,"Staff may consider implementing a ""Quiet Time"" or ""Calming Corner"" area within the canteen where pupils can take a break from the sensory stimulation. This could be equipped with comfortable seating, calming music, and visual aids such as fidget toys or stress balls to help regulate pupils' senses. It is essential to involve pupils in the design and planning of this space to ensure it meets their individual needs.",supportive,5,4,4,"The response provides practical strategies for managing sensory overload in a supportive tone, though it could include more specific details on implementation."
baseline,43,Communication & Interaction,How can I support a child who is struggling with the transition to secondary school?,"Staff may consider providing additional time and support for the pupil to adjust to new routines, teachers, and classmates. The school can also facilitate regular check-ins with the pupil's previous primary school SENCo or class teacher to gather information about their needs and preferences. It is essential to be mindful that every child transitions at a different pace, so flexibility and patience are key in supporting them through this period.",supportive,5,4,4,"The response provides practical, collegial guidance for supporting a child's transition to secondary school, though it could include more specific strategies from the context."
baseline,44,Communication & Interaction,What are the key differences in communication styles between neurotypical and neurodiverse students?,"Staff may notice that neurodiverse students often prefer clear, direct, and structured communication, whereas neurotypical students may be more adaptable to flexible or spontaneous interactions. Neurodiverse students may also benefit from visual aids, such as diagrams or charts, to support understanding and processing of information. It is essential to remember that these differences are not absolute and can vary greatly between individuals.",supportive,4,4,4,"The response provides practical insights into communication styles while maintaining a collegial tone, though it could include more specific strategies."
baseline,45,Communication & Interaction,How can teachers build a 'neuro-inclusive' classroom environment?,"Teachers can build a 'neuro-inclusive' classroom environment by providing flexible seating options and allowing pupils to move around during lessons. They should also consider using visual timers, checklists, and other organisational tools to support pupils with executive function difficulties. This approach acknowledges that different brains process information in unique ways and seeks to accommodate individual needs.",supportive,4,4,4,"The response provides practical strategies for creating a neuro-inclusive environment while maintaining a collegial tone, though it could include more specific details from the reference context."
baseline,46,Communication & Interaction,What are the best ways to involve parents in an autistic student's communication plan?,"Staff may involve parents in an autistic student's communication plan by regularly updating them on their child's progress and seeking their input through regular meetings or email updates. The school can also provide parents with a copy of the communication plan, explaining how it will be implemented and monitored, and encouraging them to contribute any additional strategies that have been successful at home. It is essential to ensure that parents are aware of how they can support their child's communication outside of school hours.",supportive,4,4,4,"The response provides practical strategies for involving parents in a communication plan, maintaining a collegial tone, though it could include more specific examples from the reference context."
baseline,47,Communication & Interaction,How do I support a child who is 'hyper-lexic' but lacks comprehension?,"When supporting a hyper-lexic pupil who struggles with comprehension, staff may provide additional time to process and respond to written or spoken instructions. This can be achieved by offering verbal summaries of key points, providing visual aids such as diagrams or pictures, and encouraging pupils to ask questions for clarification. It is essential to note that some pupils may require a more tailored approach, so it's crucial to work closely with the SENCo to develop an individualized support plan.",supportive,5,4,4,"The response provides practical, collegial guidance tailored to supporting a hyper-lexic child, though it could include more specific strategies from the reference context."
baseline,48,Communication & Interaction,What is the best way to introduce a 'Now and Next' board?,"Staff may introduce a 'Now and Next' board by displaying it prominently in a high-visibility area of the classroom or school, such as near the entrance or on a wall. The board should be regularly updated with visual aids and clear language to reflect the pupil's current goals and upcoming events or activities. It is essential to involve the pupil in the creation and maintenance of the board to ensure it remains relevant and effective.",supportive,5,4,3,"The response provides practical guidance in a collegial tone, though it lacks some specific details related to the context of meetings and parental engagement."
baseline,49,Communication & Interaction,How can I support a student with autism who has an intense interest in a non-academic topic?,"Staff may use the pupil's intense interest as a way to engage them in learning by incorporating related topics into their lessons. For example, if the pupil is passionate about dinosaurs, staff can use this interest to teach science or literacy skills through relevant activities and projects. However, it is essential to ensure that any adaptations made do not compromise the academic curriculum.",supportive,4,4,4,"The response provides practical strategies for engaging a student with autism through their interests while maintaining a supportive tone, though it could include more specific examples."
baseline,50,Communication & Interaction,What are the benefits of 'Scaffolded Questioning' for students with SLCN?,"Staff may use Scaffolded Questioning to support students with Speech, Language and Communication Needs (SLCN) by breaking down complex questions into smaller, more manageable parts. This approach can help build confidence and fluency in communication, as well as promote deeper understanding of subject matter. However, it is essential to be aware that some students may require additional time or adaptations to fully engage with this strategy.",supportive,4,4,4,"The response provides practical insights on Scaffolded Questioning for SLCN students while maintaining a collegial tone, though it could include more specific strategies."
baseline,51,Communication & Interaction,How do I manage a classroom where multiple students have conflicting sensory needs?,"When managing a classroom with multiple students who have conflicting sensory needs, staff may consider creating a Sensory Profile for each pupil to identify their individual requirements. This can help inform the development of a tailored classroom environment that meets the diverse needs of all pupils, such as adjusting lighting levels or providing designated quiet areas. It is essential to communicate regularly with parents and other professionals involved in the pupil's care to ensure consistency across settings.",supportive,5,4,4,"The response provides practical, collegial guidance for managing conflicting sensory needs, though it could include more specific strategies."
baseline,52,Communication & Interaction,What are the indicators of a social communication disorder in early years?,"Staff may look out for difficulties with initiating or maintaining conversations, such as struggling to take turns or interrupting others. They should also be aware of challenges with understanding and using non-verbal communication, including facial expressions, body language, and tone of voice. A caveat is that these indicators can sometimes co-occur with other conditions, so a comprehensive assessment by a specialist may be necessary for an accurate diagnosis.",supportive,4,4,4,"The response provides useful indicators of social communication disorder while maintaining a collegial tone, though it could include more specific examples from the context."
baseline,53,Communication & Interaction,How can I use 'Choice Boards' to reduce anxiety in communication?,"Staff may use Choice Boards as a visual tool to support pupils with SEND in communicating their needs and wants, reducing anxiety by providing a clear and structured approach. The school can create Choice Boards that include pictures or symbols representing different options, such as ""I need help"" or ""I want to go outside"", allowing pupils to communicate effectively without feeling overwhelmed. This approach may require collaboration between teaching staff and the SENCo to ensure the boards are tailored to individual pupil needs.",supportive,5,4,4,"The response provides practical guidance on using Choice Boards to reduce anxiety in communication, maintaining a collegial tone while being mostly aligned with the context."
baseline,54,Communication & Interaction,What is the best way to handle a 'flight' response in an autistic student?,"When an autistic student exhibits a 'flight' response (rapidly leaving the situation or environment), staff may calmly and quietly follow at a safe distance to ensure the pupil's safety. The school can also have a pre-arranged meeting point in place, where the pupil knows they will be met by a trusted adult if they do decide to leave the area. It is essential to avoid physical restraint or chasing the student, as this can exacerbate the situation and cause further distress.",supportive,5,4,3,"The response provides practical, respectful guidance for handling a 'flight' response, though it could benefit from more specific strategies aligned with the reference context."
baseline,55,Communication & Interaction,How can I adapt an PE lesson for a child with social communication barriers?,"To adapt a PE lesson for a child with social communication barriers, staff may consider providing clear and concise instructions, using visual aids such as diagrams or pictures to support understanding, and allowing extra time for the pupil to process information. The school can also provide a buddy system where a peer supports the pupil in understanding and following instructions during the lesson. This approach can help reduce anxiety and increase participation.",supportive,5,4,4,"The response provides practical, collegial guidance tailored to the needs of a child with social communication barriers, though it could include more specific strategies from the reference context."
baseline,56,Communication & Interaction,What are the best methods for tracking progress in social skills?,"Staff may use a combination of observation checklists and rating scales to track progress in social skills. These can be completed by teaching staff or SENCo after observing pupils during lessons or activities, providing a clear picture of their strengths and areas for development. Regular review of these records can help inform targeted interventions and adjustments to support pupil progress.",supportive,4,4,4,"The response provides practical methods for tracking social skills progress while maintaining a collegial tone, though it could include more specific tools or strategies."
baseline,57,Communication & Interaction,How do I support a child who is struggling to make friends due to communication needs?,"To support a child who is struggling to make friends due to communication needs, staff may consider providing opportunities for social interaction in small groups or one-to-one settings. The school can also facilitate peer-to-peer friendships by encouraging pupils with similar interests to work together on projects or activities. However, it's essential to ensure that any additional support does not inadvertently isolate the child further from their peers.",supportive,4,4,4,"The response provides practical strategies for supporting a child with communication needs while maintaining a collegial tone, though it could include more specific details related to stammering."
